point_cloud_path,cls_name
/home/yjli/dataset/BosphorusDB/bs006/bs006_PR_U_0_farthest_sampled.txt,6
/home/yjli/dataset/BosphorusDB/bs026/bs026_LFAU_20_0_farthest_sampled.txt,26
/home/yjli/dataset/BosphorusDB/bs063/bs063_YR_L90_0_farthest_sampled.txt,63
/home/yjli/dataset/BosphorusDB/bs027/bs027_LFAU_12LW_0_farthest_sampled.txt,27
/home/yjli/dataset/BosphorusDB/bs045/bs045_LFAU_34_0_farthest_sampled.txt,45
/home/yjli/dataset/BosphorusDB/bs059/bs059_LFAU_9_0_farthest_sampled.txt,59
/home/yjli/dataset/BosphorusDB/bs009/bs009_UFAU_4_0_farthest_sampled.txt,9
/home/yjli/dataset/BosphorusDB/bs038/bs038_O_GLASSES_0_farthest_sampled.txt,38
/home/yjli/dataset/BosphorusDB/bs009/bs009_LFAU_26_0_farthest_sampled.txt,9
/home/yjli/dataset/BosphorusDB/bs102/bs102_LFAU_17_0_farthest_sampled.txt,102
/home/yjli/dataset/BosphorusDB/bs031/bs031_LFAU_25_0_farthest_sampled.txt,31
/home/yjli/dataset/BosphorusDB/bs096/bs096_PR_U_0_farthest_sampled.txt,96
/home/yjli/dataset/BosphorusDB/bs022/bs022_LFAU_12R_0_farthest_sampled.txt,22
/home/yjli/dataset/BosphorusDB/bs009/bs009_LFAU_16_0_farthest_sampled.txt,9
/home/yjli/dataset/BosphorusDB/bs093/bs093_LFAU_14_0_farthest_sampled.txt,93
/home/yjli/dataset/BosphorusDB/bs057/bs057_LFAU_12_0_farthest_sampled.txt,57
/home/yjli/dataset/BosphorusDB/bs035/bs035_UFAU_2_0_farthest_sampled.txt,35
/home/yjli/dataset/BosphorusDB/bs102/bs102_PR_SU_0_farthest_sampled.txt,102
/home/yjli/dataset/BosphorusDB/bs030/bs030_LFAU_12R_0_farthest_sampled.txt,30
/home/yjli/dataset/BosphorusDB/bs028/bs028_CAU_A26A12lw_0_farthest_sampled.txt,28
/home/yjli/dataset/BosphorusDB/bs032/bs032_LFAU_17_0_farthest_sampled.txt,32
/home/yjli/dataset/BosphorusDB/bs039/bs039_E_ANGER_0_farthest_sampled.txt,39
/home/yjli/dataset/BosphorusDB/bs043/bs043_CAU_A22A25_0_farthest_sampled.txt,43
/home/yjli/dataset/BosphorusDB/bs010/bs010_UFAU_44_0_farthest_sampled.txt,10
/home/yjli/dataset/BosphorusDB/bs001/bs001_CR_RD_0_farthest_sampled.txt,1
/home/yjli/dataset/BosphorusDB/bs074/bs074_UFAU_2_0_farthest_sampled.txt,74
/home/yjli/dataset/BosphorusDB/bs018/bs018_UFAU_44_0_farthest_sampled.txt,18
/home/yjli/dataset/BosphorusDB/bs097/bs097_N_N_1_farthest_sampled.txt,97
/home/yjli/dataset/BosphorusDB/bs104/bs104_UFAU_43_0_farthest_sampled.txt,104
/home/yjli/dataset/BosphorusDB/bs025/bs025_N_N_0_farthest_sampled.txt,25
/home/yjli/dataset/BosphorusDB/bs020/bs020_CR_RD_0_farthest_sampled.txt,20
/home/yjli/dataset/BosphorusDB/bs006/bs006_YR_L90_0_farthest_sampled.txt,6
/home/yjli/dataset/BosphorusDB/bs101/bs101_E_SADNESS_0_farthest_sampled.txt,101
/home/yjli/dataset/BosphorusDB/bs033/bs033_CAU_A12A15_0_farthest_sampled.txt,33
/home/yjli/dataset/BosphorusDB/bs093/bs093_LFAU_25_0_farthest_sampled.txt,93
/home/yjli/dataset/BosphorusDB/bs006/bs006_LFAU_10_0_farthest_sampled.txt,6
/home/yjli/dataset/BosphorusDB/bs064/bs064_O_MOUTH_0_farthest_sampled.txt,64
/home/yjli/dataset/BosphorusDB/bs087/bs087_E_ANGER_0_farthest_sampled.txt,87
/home/yjli/dataset/BosphorusDB/bs024/bs024_YR_R90_0_farthest_sampled.txt,24
